iter	RMSE
403	1272.229793
404	1271.203657
405	1271.16304
406	1270.414404
407	1270.389911
408	1270.279684
409	1264.794475
410	1263.848912
411	1259.902482
412	1259.785626
413	1251.957717
414	1243.396597
415	1243.075637
416	1240.61229
417	1240.348615
418	1237.204984
419	1236.993833
420	1236.916688
421	1234.388159
422	1234.368338
423	1233.686072
424	1233.613298
425	1232.621574
426	1232.223361
427	1232.212154
428	1231.466119
429	1231.295582
430	1231.205779
431	1230.930434
432	1230.849148
433	1229.584412
434	1229.444121
435	1229.050332
436	1228.970795
437	1228.153665
438	1227.158582
439	1227.128965
440	1226.901177
441	1226.751917
442	1226.669234
443	1226.379925
444	1224.406524
445	1224.395505
446	1222.974473
447	1222.958983
448	1222.678021
449	1221.458973
450	1220.787025
451	1220.723612
452	1220.640096
453	1220.635768
454	1219.775167
455	1216.786129
456	1215.047699
457	1211.517174
458	1211.428928
459	1211.235207
460	1211.227306
461	1211.205698
462	1211.073132
463	1210.40377
464	1210.267961
465	1210.256751
466	1210.202637
467	1210.163591
468	1210.152165
469	1209.617503
470	1209.36545
471	1209.31
472	1209.309976
473	1209.255078
474	1209.242834
475	1209.112879
476	1209.086422
477	1209.085715
478	1208.679694
479	1206.109466
480	1203.322503
481	1202.539464
482	1202.534909
483	1202.096066
484	1201.916422
485	1201.866945
486	1201.757707
487	1200.951172
488	1199.633185
489	1199.595044
490	1197.520838
491	1194.569701
492	1194.131203
493	1193.952088
494	1188.869329
495	1188.270355
496	1187.953878
497	1187.625007
498	1183.187587
499	1183.052596
